T: 6332 | X: 163 | Y: -3 | Z 29
T: 6332 | X: 162 | Y: -3 | Z 29
T: 6332 | X: 162 | Y: -3 | Z 30
T: 6332 | X: 161 | Y: -3 | Z 30
T: 6332 | X: 161 | Y: -3 | Z 31
T: 6333 | X: 160 | Y: -3 | Z 31
T: 6333 | X: 159 | Y: -3 | Z 31
T: 6333 | X: 158 | Y: -3 | Z 32
T: 6333 | X: 157 | Y: -3 | Z 32
T: 6334 | X: 157 | Y: -3 | Z 32
T: 6334 | X: 156 | Y: -3 | Z 32
T: 6334 | X: 156 | Y: -3 | Z 32
T: 6334 | X: 155 | Y: -3 | Z 32
T: 6334 | X: 155 | Y: -3 | Z 32
T: 6335 | X: 154 | Y: -3 | Z 32
T: 6335 | X: 154 | Y: -3 | Z 32
T: 6335 | X: 154 | Y: -3 | Z 32
T: 6335 | X: 153 | Y: -3 | Z 32
T: 6335 | X: 153 | Y: -3 | Z 32
T: 6336 | X: 153 | Y: -3 | Z 32
T: 6336 | X: 153 | Y: -3 | Z 32
T: 6336 | X: 153 | Y: -3 | Z 31
T: 6336 | X: 153 | Y: -3 | Z 31
T: 6337 | X: 153 | Y: -3 | Z 31
T: 6337 | X: 153 | Y: -3 | Z 31
T: 6337 | X: 154 | Y: -3 | Z 31
T: 6337 | X: 154 | Y: -3 | Z 31
T: 6337 | X: 154 | Y: -3 | Z 31
T: 6338 | X: 155 | Y: -3 | Z 31
T: 6338 | X: 155 | Y: -3 | Z 31
T: 6338 | X: 156 | Y: -3 | Z 31
T: 6338 | X: 156 | Y: -3 | Z 31
T: 6339 | X: 157 | Y: -3 | Z 31
T: 6339 | X: 157 | Y: -3 | Z 31
T: 6339 | X: 157 | Y: -3 | Z 31
T: 6339 | X: 158 | Y: -3 | Z 31
T: 6339 | X: 158 | Y: -3 | Z 31
T: 6340 | X: 158 | Y: -3 | Z 30
T: 6340 | X: 158 | Y: -3 | Z 30
T: 6340 | X: 158 | Y: -3 | Z 30
T: 6340 | X: 158 | Y: -3 | Z 29
T: 6340 | X: 158 | Y: -3 | Z 29
T: 6341 | X: 158 | Y: -3 | Z 28
T: 6341 | X: 158 | Y: -3 | Z 28
T: 6341 | X: 158 | Y: -3 | Z 27
T: 6341 | X: 158 | Y: -3 | Z 27
T: 6342 | X: 158 | Y: -3 | Z 27
T: 6342 | X: 158 | Y: -3 | Z 26
T: 6342 | X: 158 | Y: -3 | Z 26
T: 6342 | X: 158 | Y: -3 | Z 27
T: 6342 | X: 158 | Y: -3 | Z 27
T: 6343 | X: 158 | Y: -3 | Z 27
T: 6343 | X: 158 | Y: -3 | Z 27
T: 6343 | X: 158 | Y: -3 | Z 28
T: 6343 | X: 158 | Y: -3 | Z 28
T: 6343 | X: 158 | Y: -3 | Z 29
T: 6344 | X: 158 | Y: -3 | Z 29
T: 6344 | X: 158 | Y: -3 | Z 30
